Transaction Date,Posted Date,Description,Category,Debit,Credit
12/28/2022,12/31/2022,SWEET & COFFEE CIUDAD,Dining,1,
12/27/2022,12/30/2022,FYBECA,Health Care,3.27,
12/28/2022,12/29/2022,CHOCOLATERIA SAN FERNA,Dining,3.02,
12/24/2022,12/29/2022,ECUAVICHE,Dining,16.4,
12/22/2022,12/28/2022,H&M,Merchandise,14.99,
12/23/2022,12/28/2022,BAGUETTE,Dining,8.5,
12/22/2022,12/28/2022,CEVICHES RUMINAHUI QUI,Dining,9.45,
12/25/2022,12/27/2022,UBER   *TRIP,Other Travel,6.16,
12/25/2022,12/26/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,490.6
12/25/2022,12/26/2022,TMOBILE*PREPAID WEB,Phone/Cable,28.4,
12/22/2022,12/24/2022,UBER   *TRIP,Other Travel,4.51,
12/20/2022,12/22/2022,HELP.HBOMAX.COM,Other Services,5.99,
12/18/2022,12/22/2022,FULLCARGA*RAQUEL STEAK,Dining,12,
12/17/2022,12/22/2022,FULLCARGA*RAQUEL STEAK,Dining,12,
12/17/2022,12/22/2022,FULLCARGA*RAQUEL STEAK,Dining,30,
12/19/2022,12/21/2022,UBER   *TRIP,Other Travel,3.34,
12/20/2022,12/21/2022,UBER   *TRIP,Other Travel,4.63,
12/17/2022,12/21/2022,CORALRIO,Merchandise,8.18,
12/17/2022,12/21/2022,MUMUSO,Merchandise,3.35,
12/17/2022,12/21/2022,EL CONFESIONARIO,Dining,12.8,
12/19/2022,12/21/2022,FOOT 8 FOOT,Health Care,101,
12/18/2022,12/21/2022,MULTICINES S.A. MILLEN,Entertainment,12,
12/18/2022,12/20/2022,NEGRONI,Dining,10.48,
12/18/2022,12/20/2022,FARMACIAS CRUZ AZUL,Health Care,7.2,
12/18/2022,12/20/2022,COSITAS 1024 ASADERO,Dining,10.25,
12/15/2022,12/20/2022,CHILLY LI RESTAURANTE,Dining,17.3,
12/16/2022,12/20/2022,CURU,Dining,11.5,
12/17/2022,12/20/2022,CHOCOLATERIA DOS CHORR,Dining,10.2,
12/16/2022,12/16/2022,UBER *TRIP HELP.UBER.C,Other Travel,4.57,
12/14/2022,12/16/2022,UBER   *TRIP,Other Travel,4.98,
12/14/2022,12/16/2022,UBER   *TRIP,Other Travel,4.51,
12/15/2022,12/16/2022,UBER   *TRIP,Other Travel,5.56,
12/14/2022,12/16/2022,PIGRO PASTA BAR,Dining,10.3,
12/13/2022,12/16/2022,YOGURT DE LA AMAZONAS,Dining,9.65,
12/14/2022,12/15/2022,UBER   *TRIP,Other Travel,5.43,
12/12/2022,12/12/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,435.8
12/11/2022,12/12/2022,BROWARD DUTY FREE USFC,Merchandise,96,
12/11/2022,12/12/2022,FORT LAUDERDALE AIRPOR,Dining,6.37,
12/11/2022,12/12/2022,FORT LAUDERDALE AIRPOR,Dining,14.9,
12/11/2022,12/12/2022,STARBUCKS MERCH MIA,Dining,6.15,
12/11/2022,12/12/2022,FLL CNBC,Merchandise,13.28,
12/11/2022,12/12/2022,UBER   TRIP,Other Travel,48.94,
12/11/2022,12/12/2022,MARTA,Other Travel,2.5,
12/10/2022,12/12/2022,MARTA,Other Travel,2.5,
12/10/2022,12/12/2022,AMZN Mktp US,Merchandise,,21.77
12/8/2022,12/9/2022,MARTA,Other Travel,2.5,
12/8/2022,12/9/2022,AMZN Mktp US,Merchandise,,26.13
12/8/2022,12/9/2022,AMZN Mktp US,Merchandise,,21.55
12/8/2022,12/9/2022,AMZN Mktp US,Merchandise,,19.59
12/7/2022,12/8/2022,AMZN Mktp US*2C4397NA3,Merchandise,36.25,
12/5/2022,12/6/2022,WHOLEFDS ATL#10650,Merchandise,27.7,
12/4/2022,12/5/2022,AMZN Mktp US*S00QI3CB3,Merchandise,171.88,
12/3/2022,12/5/2022,PUBLIX #1061,Merchandise,51.75,
12/3/2022,12/5/2022,EARTHBREEZE.COM,Other Services,13.02,
12/2/2022,12/2/2022,MARTA,Other Travel,2.5,
12/1/2022,12/2/2022,MARTA,Other Travel,2.5,
11/30/2022,12/1/2022,PUBLIX #1061,Merchandise,31.21,
11/27/2022,11/28/2022,POKE CITY,Dining,14.05,
11/26/2022,11/28/2022,SWEET HUT BAKERY & CAF,Dining,4.9,
11/27/2022,11/28/2022,SQ *HONEY NEXT DOOR,Merchandise,14.69,
11/27/2022,11/28/2022,SQ *ALMAS AND CO.,Merchandise,12.96,
11/17/2022,11/17/2022,"COMCAST THREERIVERS,PA",Phone/Cable,,34.81
11/17/2022,11/17/2022,COMCAST CABLE COMM,Phone/Cable,55,
10/31/2022,11/2/2022,JETBLUE   27921069129892,Airfare,799.82,
10/1/2022,10/28/2022,PURCHASE ADJUSTMENT,Merchandise,,1076.31
10/18/2022,10/19/2022,"CONSERVICE, LLC",Utilities,81.95,
10/16/2022,10/18/2022,TACA WEB U,Airfare,108.09,
10/17/2022,10/17/2022,COMCAST CABLE COMM,Phone/Cable,155,
10/12/2022,10/13/2022,AMZN MKTP US AMZN.COM/,Merchandise,,17.41
10/12/2022,10/13/2022,AMZN MKTP US AMZN.COM/,Merchandise,,13.71
10/10/2022,10/10/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
10/7/2022,10/8/2022,Amazon.com*1K1ZQ1AI1,Merchandise,4.57,
10/6/2022,10/6/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1754.27
10/4/2022,10/5/2022,AMZN MKTP US*141B925B2,Merchandise,25.46,
10/4/2022,10/5/2022,AMZN Mktp US*143IT1621,Merchandise,85.98,
10/4/2022,10/4/2022,AMZN Mktp US*146IU0QY1,Merchandise,157.34,
10/4/2022,10/4/2022,AMZN Mktp US*143B43QC1,Merchandise,4.21,
10/3/2022,10/3/2022,CHEWY.COM,Merchandise,57.86,
10/2/2022,10/3/2022,SWEETGREEN,Dining,12.42,
10/3/2022,10/3/2022,AMZN Mktp US*141WT3072,Merchandise,23.95,
10/2/2022,10/3/2022,AMZN MKTP US*149QZ5E02,Merchandise,17.41,
10/1/2022,10/3/2022,IPIC ATLANTA,Entertainment,20.68,
10/1/2022,10/3/2022,SP EARTHBREEZE,Merchandise,13.02,
10/1/2022,10/3/2022,HOME SQUARE *,Merchandise,1076.31,
9/19/2022,9/20/2022,FAMILY DOLLAR #5518,Merchandise,1,
9/18/2022,9/19/2022,KUHN'S BELLEVUE,Merchandise,10.69,
9/17/2022,9/19/2022,TST* The Colombian Spo,Dining,34.92,
9/17/2022,9/19/2022,SQ *THREADBARE CIDER H,Dining,16.08,
9/16/2022,9/17/2022,KUHN'S BELLEVUE,Merchandise,7.52,
9/15/2022,9/17/2022,ALDI 69079,Merchandise,0.84,
9/15/2022,9/16/2022,KUHN'S BELLEVUE,Merchandise,4.48,
9/15/2022,9/16/2022,RITE AID 10920,Health Care,2.13,
9/14/2022,9/16/2022,BNYGRANTSTCAFE     QPS,Dining,7.66,
9/13/2022,9/15/2022,DELTA     00642435165050,Airfare,70,
9/13/2022,9/15/2022,MARTA TVM     00000018,Other Travel,3.5,
9/13/2022,9/14/2022,WHOLEFDS ATL#10650,Merchandise,27.02,
9/13/2022,9/14/2022,WHOLEFDS ATL#10650,Merchandise,5.47,
9/14/2022,9/14/2022,TST* DANCING GOATS COF,Dining,2.82,
9/13/2022,9/14/2022,ATLMARKET ST2687,Merchandise,7.27,
9/14/2022,9/14/2022,LYFT   RIDE TUE 5AM,Other Travel,33.97,
9/12/2022,9/13/2022,KUHN'S BELLEVUE,Merchandise,24.26,
9/12/2022,9/12/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,444.67
9/10/2022,9/10/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
8/20/2022,8/22/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/17/2022,8/18/2022,AMERISPEC INSPECTION S,Professional Services,375.95,
8/16/2022,8/17/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/16/2022,8/17/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/13/2022,8/15/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/13/2022,8/13/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,244.12
8/12/2022,8/13/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/10/2022,8/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/10/2022,8/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/10/2022,8/10/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
8/9/2022,8/10/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/7/2022,8/8/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/7/2022,8/8/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/5/2022,8/6/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/4/2022,8/5/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/4/2022,8/5/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/3/2022,8/4/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/3/2022,8/4/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/3/2022,8/4/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/2/2022,8/3/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/31/2022,8/1/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/31/2022,8/1/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/29/2022,7/30/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/29/2022,7/30/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/21/2022,7/22/2022,MASABI_PAACREADY2RIDE,Other Travel,25,
7/14/2022,7/14/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,255.84
7/13/2022,7/14/2022,MASABI_PAACREADY2RIDE,Other Travel,25,
7/13/2022,7/14/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/13/2022,7/14/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/12/2022,7/13/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
7/9/2022,7/11/2022,AMAZON.COM*QD9IV39W3 A,Merchandise,31.93,
7/10/2022,7/11/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
7/9/2022,7/9/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,300
7/8/2022,7/9/2022,CVS/PHARMACY #04103,Health Care,13.69,
7/8/2022,7/9/2022,COGO'S 1493,Merchandise,2.99,
7/8/2022,7/9/2022,SQ *LINCOLN AVENUE BRE,Dining,13.38,
7/9/2022,7/9/2022,TST* Vue 412,Dining,49.53,
7/7/2022,7/9/2022,THAI TAMARIND,Dining,18.52,
7/7/2022,7/8/2022,TST* Bigham Tavern,Dining,21.26,
7/7/2022,7/8/2022,RITE AID 00273,Health Care,43.48,
7/7/2022,7/8/2022,RITE AID 00273,Health Care,9.49,
7/7/2022,7/8/2022,AMZN Mktp US*5T0OC6F93,Merchandise,31.78,
7/7/2022,7/8/2022,SQ *DELANIE'S COFFEE,Dining,7.49,
7/6/2022,7/7/2022,SQ *WIGLE WHISKEY DIST,Dining,33.38,
7/6/2022,7/7/2022,MATTRESS FACTORY,Other Services,15,
7/5/2022,7/7/2022,AVALON VETERINARY HOSP,Professional Services,113.25,
7/5/2022,7/6/2022,CHEESECAKE PITTSBURGH,Dining,9.58,
7/5/2022,7/6/2022,SQ *PITTSBURGH POPCORN,Merchandise,5.5,
7/4/2022,7/6/2022,The Urban Tap,Dining,16.41,
7/4/2022,7/6/2022,SHEETZ 0314   00003145,Gas/Automotive,5.36,
7/4/2022,7/5/2022,HANINI MARKET,Merchandise,3,
7/2/2022,7/4/2022,MASABI_PAACREADY2RIDE,Other Travel,25,
7/2/2022,7/2/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/30/2022,7/1/2022,VESTA  *AT&T PREPAID,Phone/Cable,33.75,
6/30/2022,7/1/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/27/2022,6/28/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/26/2022,6/27/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/25/2022,6/27/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/24/2022,6/25/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/23/2022,6/24/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/21/2022,6/22/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/20/2022,6/21/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/19/2022,6/20/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/18/2022,6/20/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/18/2022,6/20/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/18/2022,6/20/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/17/2022,6/18/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/16/2022,6/17/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/14/2022,6/15/2022,TERAPIA-MEJORHABLEMOS,Health Care,40,
6/13/2022,6/14/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/13/2022,6/13/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,435.44
6/10/2022,6/10/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
6/8/2022,6/9/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/7/2022,6/8/2022,TERAPIA-MEJORHABLEMOS,Health Care,40,
6/5/2022,6/6/2022,KUHN'S BELLEVUE,Merchandise,27.52,
6/4/2022,6/6/2022,ARAMARK PNC PARK CONC,Dining,9.04,
6/4/2022,6/6/2022,BURGATORY - NORTH SHOR,Dining,15,
6/4/2022,6/4/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
6/1/2022,6/2/2022,KUHN'S BELLEVUE,Merchandise,57.53,
5/28/2022,6/1/2022,SKYPE.COM/BILL,Internet,5,
5/31/2022,6/1/2022,TERAPIA-MEJORHABLEMOS,Health Care,40,
5/31/2022,6/1/2022,VESTA  *AT&T PREPAID,Phone/Cable,33.75,
5/30/2022,5/31/2022,KUHN'S BELLEVUE,Merchandise,26.72,
5/29/2022,5/30/2022,FAT HEAD'S SALOON,Dining,11.71,
5/29/2022,5/30/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
5/29/2022,5/30/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
5/28/2022,5/30/2022,TEQUILA COWBOY PITTSBU,Dining,9.5,
5/28/2022,5/30/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
5/27/2022,5/28/2022,FSP*VENTURE OUTDOORS,Other Travel,29.36,
5/25/2022,5/26/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
5/25/2022,5/26/2022,TERAPIA-MEJORHABLEMOS,Health Care,40,
5/24/2022,5/25/2022,GIANT-EAGLE #0061,Merchandise,1.56,
5/23/2022,5/24/2022,KUHN'S BELLEVUE,Merchandise,17.28,
5/15/2022,5/16/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,405.58
5/13/2022,5/14/2022,AMZN Mktp US,Merchandise,,50.98
5/13/2022,5/14/2022,AMZN Mktp US,Merchandise,,17.99
5/13/2022,5/14/2022,AMZN Mktp US,Merchandise,,69.98
5/11/2022,5/13/2022,BNYGRANTSTCAFE     QPS,Dining,1.87,
5/10/2022,5/12/2022,LINCOLN BAKERY,Dining,1.85,
5/10/2022,5/12/2022,LINCOLN BAKERY,Dining,1,
5/10/2022,5/11/2022,KUHN'S BELLEVUE,Merchandise,7.79,
5/10/2022,5/10/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
