Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/23/2022,11/25/2022,ULTA #223,Shopping,Return,15.79,
11/23/2022,11/25/2022,ULTA #223,Shopping,Sale,-71.99,
11/23/2022,11/25/2022,ULTA #223,Shopping,Sale,-14.15,
11/24/2022,11/25/2022,WHOLEFDS ATL#10650,Groceries,Sale,-28.25,
11/23/2022,11/24/2022,MARTA,Travel,Sale,-2.50,
11/23/2022,11/24/2022,AMZN Mktp US*HI9NZ6WF2,Shopping,Sale,-14.10,
11/23/2022,11/24/2022,Amazon.com*HW1UX4X30,Shopping,Sale,-5.22,
11/23/2022,11/23/2022,AMZN Mktp US*HW4P34JG1,Shopping,Sale,-81.65,
11/22/2022,11/23/2022,PUBLIX #1061,Groceries,Sale,-52.59,
11/21/2022,11/22/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-28.29,
11/22/2022,11/22/2022,ZOO ATLANTAADMNET,Gifts & Donations,Sale,-30.21,
11/21/2022,11/21/2022,TST* DANCING GOATS COF,Food & Drink,Sale,-2.94,
11/21/2022,11/21/2022,Prime Video *HI0OE1XT2,Shopping,Sale,-14.99,
11/17/2022,11/20/2022,ATLANTA BOTANTICAL GAR,Gifts & Donations,Sale,-32.95,
11/16/2022,11/17/2022,WHOLEFDS ATL#10650,Groceries,Sale,-27.93,
11/16/2022,11/17/2022,WHOLEFDS ATL#10650,Groceries,Sale,-6.01,
11/14/2022,11/15/2022,PUBLIX #1061,Groceries,Sale,-17.19,
11/14/2022,11/15/2022,WHOLEFDS ATL#10650,Groceries,Sale,-8.88,
11/13/2022,11/14/2022,SQ *TRUE LIFE WELLNESS,Food & Drink,Sale,-7.57,
11/13/2022,11/14/2022,WHOLEFDS ATL#10650,Groceries,Sale,-7.07,
11/13/2022,11/14/2022,WHOLEFDS ATL#10650,Groceries,Sale,-7.57,
11/13/2022,11/14/2022,Payment Thank You-Mobile,,Payment,82.94,
11/11/2022,11/13/2022,WHOLEFDS ATL#10650,Groceries,Sale,-8.48,
11/11/2022,11/13/2022,PUBLIX #1061,Groceries,Sale,-30.11,
11/10/2022,11/11/2022,WHOLEFDS ATL#10650,Groceries,Sale,-41.21,
11/10/2022,11/11/2022,WHOLEFDS ATL#10650,Groceries,Sale,-3.14,
11/09/2022,11/09/2022,Payment Thank You-Mobile,,Payment,187.37,
11/07/2022,11/08/2022,PUBLIX #1061,Groceries,Sale,-30.43,
11/07/2022,11/07/2022,HENRY'S MIDTOWN,Food & Drink,Sale,-19.40,
11/06/2022,11/07/2022,TST* Skyline Park,Food & Drink,Sale,-15.00,
11/06/2022,11/07/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-5.43,
11/04/2022,11/06/2022,PUBLIX #1061,Groceries,Sale,-66.49,
11/03/2022,11/04/2022,MARTA,Travel,Sale,-2.50,
11/02/2022,11/03/2022,PUBLIX #1061,Groceries,Sale,-17.22,
10/26/2022,10/27/2022,TMOBILE*PREPAID WEB,Bills & Utilities,Sale,-28.40,
10/24/2022,10/25/2022,MARTA,Travel,Sale,-2.50,
10/14/2022,10/14/2022,Payment Thank You-Mobile,,Payment,211.77,
10/10/2022,10/12/2022,SWEET HUT BAKERY &amp; CAF,Food & Drink,Sale,-2.98,
10/10/2022,10/12/2022,SWEET HUT BAKERY &amp; CAF,Food & Drink,Sale,-6.46,
10/10/2022,10/11/2022,PUBLIX #1061,Groceries,Sale,-85.35,
10/09/2022,10/10/2022,MARTA TVM     00000018,Travel,Sale,-3.50,
10/07/2022,10/10/2022,BLAKE S ON THE PARK,Food & Drink,Sale,-10.00,
10/09/2022,10/09/2022,MARTA,Travel,Sale,-2.50,
10/08/2022,10/09/2022,SQ *GAYTL,Entertainment,Sale,-15.00,
10/07/2022,10/09/2022,PUBLIX #1061,Groceries,Sale,-20.88,
10/07/2022,10/09/2022,TRADER JOE'S #730  QPS,Groceries,Sale,-12.98,
10/06/2022,10/07/2022,WHOLEFDS ATL#10650,Groceries,Sale,-15.45,
10/06/2022,10/07/2022,WHOLEFDS ATL#10650,Groceries,Sale,-8.48,
10/04/2022,10/06/2022,SWEET HUT BAKERY &amp; CAF,Food & Drink,Sale,-2.98,
10/05/2022,10/06/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-3.44,
10/05/2022,10/06/2022,AMZN Mktp US*1K8MQ1L50,Shopping,Sale,-21.77,
10/06/2022,10/06/2022,Payment Thank You-Mobile,,Payment,143.65,
10/04/2022,10/05/2022,WHOLEFDS ATL#10650,Groceries,Sale,-69.48,
10/04/2022,10/05/2022,PUBLIX #1061,Groceries,Sale,-7.23,
10/03/2022,10/04/2022,PUBLIX #1061,Groceries,Sale,-40.84,
10/01/2022,10/02/2022,ACTIV N FIT,Health & Wellness,Sale,-25.00,
09/30/2022,10/02/2022,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.10,
10/01/2022,10/02/2022,Payment Thank You-Mobile,,Payment,496.00,
09/26/2022,09/27/2022,STARBUCKS STORE 08287,Food & Drink,Sale,-5.37,
09/26/2022,09/27/2022,TST* Fresh to Order -,Food & Drink,Sale,-10.74,
09/26/2022,09/27/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-41.82,
09/26/2022,09/27/2022,WHOLEFDS ATL#10650,Groceries,Sale,-9.10,
09/25/2022,09/26/2022,WHOLEFDS ATL#10650,Groceries,Sale,-27.87,
09/25/2022,09/26/2022,WHOLEFDS ATL#10650,Groceries,Sale,-6.38,
09/25/2022,09/26/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-15.72,
09/24/2022,09/25/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-38.82,
09/24/2022,09/25/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-11.16,
09/24/2022,09/25/2022,PUBLIX #1061,Groceries,Sale,-27.19,
09/24/2022,09/25/2022,DELTA      00642444778371,Travel,Sale,-95.00,
09/24/2022,09/25/2022,PUBLIX #1061,Groceries,Sale,-112.08,
09/24/2022,09/25/2022,DELTA      00642449059840,Travel,Sale,-30.00,
09/24/2022,09/25/2022,CVS/PHARMACY #02943,Health & Wellness,Sale,-21.14,
09/23/2022,09/25/2022,KUHN'S BELLEVUE,Groceries,Sale,-13.45,
09/21/2022,09/23/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-1.87,
09/21/2022,09/23/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-1.87,
09/21/2022,09/23/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-1.17,
09/21/2022,09/22/2022,CMS*LAUREL FOODSYSTEMS,Food & Drink,Sale,-1.35,
09/21/2022,09/22/2022,TMOBILE*PREPAID WEB,Bills & Utilities,Sale,-28.40,
09/21/2022,09/22/2022,CMS*LAUREL FOODSYSTEMS,Food & Drink,Sale,-1.35,
09/13/2022,09/15/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Return,5.85,
09/12/2022,09/12/2022,Payment Thank You-Mobile,,Payment,215.90,
09/06/2022,09/07/2022,KUHN'S BELLEVUE,Groceries,Sale,-21.58,
09/05/2022,09/05/2022,Payment Thank You-Mobile,,Payment,200.00,
09/03/2022,09/04/2022,KUHN'S BELLEVUE,Groceries,Sale,-49.07,
09/01/2022,09/04/2022,7-ELEVEN 36143,Gas,Sale,-2.29,
09/01/2022,09/02/2022,ACTIV N FIT,Health & Wellness,Sale,-50.00,
09/01/2022,09/02/2022,ALLEGHENY CLINIC,Health & Wellness,Sale,-51.22,
08/31/2022,09/01/2022,KUHN'S BELLEVUE,Groceries,Sale,-18.39,
08/31/2022,09/01/2022,KUHN'S BELLEVUE,Groceries,Sale,-6.39,
08/30/2022,08/31/2022,KUHN'S BELLEVUE,Groceries,Sale,-21.55,
08/27/2022,08/29/2022,CAVO,Food & Drink,Sale,-19.12,
08/28/2022,08/29/2022,KUHN'S BELLEVUE,Groceries,Sale,-4.42,
08/28/2022,08/29/2022,TMOBILE*PREPAID WEB,Bills & Utilities,Sale,-28.40,
08/27/2022,08/29/2022,ASCEND PITTSBURGH,Entertainment,Sale,-10.00,
08/26/2022,08/29/2022,OTB BICYCLE CAFE,Food & Drink,Sale,-21.19,
08/27/2022,08/29/2022,KUHN'S BELLEVUE,Groceries,Sale,-2.00,
08/27/2022,08/29/2022,GIANT-EAGLE #0065,Groceries,Sale,-35.32,
08/26/2022,08/28/2022,KUHN'S BELLEVUE,Groceries,Sale,-1.14,
08/25/2022,08/28/2022,LINCOLN BAKERY,Food & Drink,Sale,-2.75,
08/26/2022,08/28/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
08/25/2022,08/26/2022,KUHN'S BELLEVUE,Groceries,Sale,-1.34,
08/11/2022,08/11/2022,Payment Thank You-Mobile,,Payment,148.05,
08/07/2022,08/08/2022,SQ *LINCOLN AVENUE BRE,Food & Drink,Sale,-16.37,
08/06/2022,08/08/2022,LINCOLN BAKERY,Food & Drink,Sale,-4.95,
08/05/2022,08/07/2022,KUHN'S BELLEVUE,Groceries,Sale,-18.37,
08/03/2022,08/05/2022,7-ELEVEN 36143,Gas,Sale,-7.37,
08/03/2022,08/04/2022,365 Market  888 432-32,Food & Drink,Sale,-1.29,
08/03/2022,08/04/2022,365 Market  888 432-32,Food & Drink,Sale,-1.79,
08/01/2022,08/02/2022,KUHN'S BELLEVUE,Groceries,Sale,-31.32,
07/31/2022,08/01/2022,CVS/PHARMACY #04103,Health & Wellness,Sale,-24.37,
07/31/2022,08/01/2022,DOLLAR-GENERAL #4607,Shopping,Sale,-4.65,
07/30/2022,07/31/2022,STARBUCKS STORE 07887,Food & Drink,Sale,-5.30,
07/30/2022,07/31/2022,SQ *LINCOLN AVENUE BRE,Food & Drink,Sale,-15.08,
07/28/2022,07/31/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-4.90,
07/28/2022,07/29/2022,SQ *DELANIE'S COFFEE,Food & Drink,Sale,-3.74,
07/28/2022,07/29/2022,T-MOBILE STORE # 564E,Shopping,Sale,-39.10,
07/26/2022,07/27/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
07/09/2022,07/10/2022,Payment Thank You-Mobile,,Payment,397.92,
07/07/2022,07/08/2022,LEMONADE INSURANCE,Bills & Utilities,Sale,-204.88,
07/04/2022,07/05/2022,OAKLAND ADMISSIONS WEB,Gifts & Donations,Sale,-24.00,
06/27/2022,06/27/2022,LEMONADE INSURANCE,Bills & Utilities,Sale,-27.42,
06/26/2022,06/27/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
06/18/2022,06/20/2022,ALDI 69079,Groceries,Sale,-7.32,
06/18/2022,06/19/2022,WINE AND SPIRITS 0237,Food & Drink,Sale,-11.76,
06/16/2022,06/17/2022,GIANT-EAGLE #0061,Groceries,Sale,-17.36,
06/16/2022,06/17/2022,KUHN'S BELLEVUE,Groceries,Sale,-23.01,
06/15/2022,06/16/2022,KUHN'S BELLEVUE,Groceries,Sale,-44.92,
06/13/2022,06/14/2022,GIANT-EAGLE #0061,Groceries,Sale,-17.66,
06/08/2022,06/08/2022,Payment Thank You-Mobile,,Payment,47.01,
05/26/2022,05/27/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
05/27/2022,05/27/2022,LEMONADE INSURANCE,Bills & Utilities,Sale,-27.42,
05/09/2022,05/10/2022,Payment Thank You-Mobile,,Payment,373.80,
04/30/2022,05/01/2022,KUHN'S BELLEVUE,Groceries,Sale,-68.95,
04/30/2022,05/01/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/30/2022,05/01/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/30/2022,05/01/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/30/2022,05/01/2022,FAMILY DOLLAR #5518,Shopping,Sale,-2.95,
04/29/2022,05/01/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/28/2022,04/29/2022,WINE AND SPIRITS 0237,Food & Drink,Sale,-11.76,
04/28/2022,04/29/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/27/2022,04/28/2022,AMZN Mktp US*1Q5IJ7WI1,Shopping,Sale,-13.49,
04/27/2022,04/28/2022,FAMILY DOLLAR #5518,Shopping,Sale,-2.14,
04/26/2022,04/27/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-3.83,
04/27/2022,04/27/2022,LEMONADE INSURANCE,Bills & Utilities,Sale,-27.42,
04/26/2022,04/27/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-2.68,
04/26/2022,04/27/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/26/2022,04/27/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/26/2022,04/27/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
04/24/2022,04/25/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/23/2022,04/24/2022,T &amp; M HARDWARE &amp; RENTA,Home,Sale,-5.34,
04/23/2022,04/24/2022,CVS/PHARMACY #04103,Health & Wellness,Sale,-10.69,
04/20/2022,04/22/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-3.11,
04/21/2022,04/22/2022,KUHN'S BELLEVUE,Groceries,Sale,-30.15,
04/21/2022,04/22/2022,FAMILY DOLLAR #5518,Shopping,Sale,-5.35,
04/20/2022,04/21/2022,Amazon.com*1A94E7YR2,Shopping,Sale,-18.11,
04/20/2022,04/21/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/20/2022,04/21/2022,CMS*LAUREL FOODSYSTEMS,Food & Drink,Sale,-1.35,
04/20/2022,04/21/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/20/2022,04/21/2022,AMZN Mktp US*1A3BC9W82,Shopping,Sale,-15.89,
04/19/2022,04/21/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-1.17,
04/19/2022,04/21/2022,BNYGRANTSTCAFE     QPS,Food & Drink,Sale,-1.87,
04/19/2022,04/20/2022,CMS*LAUREL FOODSYSTEMS,Food & Drink,Sale,-1.35,
04/19/2022,04/20/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/19/2022,04/20/2022,KUHN'S BELLEVUE,Groceries,Sale,-27.41,
04/19/2022,04/20/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
04/16/2022,04/17/2022,KUHN'S BELLEVUE,Groceries,Sale,-36.86,
04/15/2022,04/17/2022,EPSON  *STORE,Shopping,Sale,-21.39,
04/14/2022,04/15/2022,KUHN'S BELLEVUE,Groceries,Sale,-7.95,
04/09/2022,04/10/2022,Payment Thank You-Mobile,,Payment,392.03,
03/26/2022,03/27/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
03/27/2022,03/27/2022,LEMONADE INSURANCE,Bills & Utilities,Sale,-27.42,
03/20/2022,03/21/2022,Amazon.com*1N77Y91A0,Shopping,Sale,-18.11,
03/15/2022,03/15/2022,QUEST DIAGNOSTICS,Health & Wellness,Sale,-78.50,
03/14/2022,03/15/2022,Amazon.com*1Z6013WR1,Groceries,Sale,-92.04,
03/14/2022,03/15/2022,ALLEGHENY CLINIC,Health & Wellness,Sale,-204.35,
03/13/2022,03/13/2022,Payment Thank You-Mobile,,Payment,208.89,
03/11/2022,03/13/2022,AMZN Mktp US,Shopping,Return,17.99,
03/12/2022,03/13/2022,AMZN Mktp US,Shopping,Return,29.99,
03/08/2022,03/08/2022,AMZN Mktp US*1W6EF7032,Shopping,Sale,-47.98,
03/04/2022,03/06/2022,AMZN Mktp US*1W2TN8D61,Shopping,Sale,-17.97,
02/26/2022,02/27/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.51,
02/26/2022,02/27/2022,LEMONADE INSURANCE,Bills & Utilities,Sale,-26.38,
02/21/2022,02/22/2022,FAMILY DOLLAR #5518,Shopping,Sale,-6.15,
02/21/2022,02/22/2022,Amazon.com*E03V06Q93,Shopping,Sale,-18.11,
02/19/2022,02/20/2022,KUHN'S BELLEVUE,Groceries,Sale,-25.85,
02/17/2022,02/18/2022,RITE AID 10920,Health & Wellness,Sale,-3.29,
02/17/2022,02/18/2022,KUHN'S BELLEVUE,Groceries,Sale,-6.29,
02/16/2022,02/17/2022,KUHN'S BELLEVUE,Groceries,Sale,-37.36,
02/14/2022,02/14/2022,Payment Thank You-Mobile,,Payment,390.86,
02/07/2022,02/08/2022,HUNGRYROOT.COM,Groceries,Sale,-79.92,
02/02/2022,02/02/2022,AMZN Mktp US*348DQ6W83,Shopping,Sale,-6.35,
02/01/2022,02/02/2022,AMZN Mktp US*SG2EJ6I93,Shopping,Sale,-27.27,
01/30/2022,01/31/2022,SQ *LINCOLN AVENUE BRE,Food & Drink,Sale,-13.85,
01/29/2022,01/30/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-2.75,
01/29/2022,01/30/2022,SQ *COMMONPLACE COFFEE,Food & Drink,Sale,-3.25,
01/28/2022,01/30/2022,KUHN'S BELLEVUE,Groceries,Sale,-21.23,
01/26/2022,01/27/2022,LEMONADE INSURANCE,Bills & Utilities,Sale,-26.42,
01/26/2022,01/27/2022,SQ *LINCOLN AVENUE BRE,Food & Drink,Sale,-12.04,
01/26/2022,01/27/2022,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
01/26/2022,01/27/2022,KUHN'S BELLEVUE,Groceries,Sale,-23.90,
01/21/2022,01/23/2022,ALLEGHENY CLINIC,Health & Wellness,Sale,-20.00,
01/21/2022,01/23/2022,RITE AID 10920,Health & Wellness,Sale,-50.00,
01/21/2022,01/23/2022,RITE AID 10920,Health & Wellness,Sale,-9.69,
01/21/2022,01/23/2022,KUHN'S BELLEVUE,Groceries,Sale,-8.56,
01/21/2022,01/23/2022,FAMILY DOLLAR #5518,Shopping,Sale,-2.95,
01/21/2022,01/21/2022,Amazon.com*RM5AJ6AK3,Shopping,Sale,-18.11,
01/17/2022,01/18/2022,KUHN'S BELLEVUE,Groceries,Sale,-24.20,
01/17/2022,01/18/2022,RITE AID 10920,Health & Wellness,Sale,-32.47,
01/17/2022,01/18/2022,RITE AID 10920,Health & Wellness,Sale,-9.79,
01/18/2022,01/18/2022,AMZN Mktp US,Shopping,Return,23.39,
01/17/2022,01/18/2022,AMZN Mktp US,Shopping,Return,29.98,
01/17/2022,01/18/2022,AMZN Mktp US,Shopping,Return,30.99,
01/18/2022,01/18/2022,AMZN Mktp US,Shopping,Return,44.49,
01/17/2022,01/17/2022,solvmor ltd,Professional Services,Sale,-3.00,
01/16/2022,01/17/2022,HUNGRYROOT.COM,Groceries,Sale,-29.92,
01/13/2022,01/17/2022,BGC135 9TH ST INC,Food & Drink,Sale,-4.00,
01/13/2022,01/17/2022,BGC135 9TH ST INC,Food & Drink,Sale,-10.00,
01/15/2022,01/16/2022,HOFBRAUHAUS PITTSBURGH,Food & Drink,Sale,-8.50,
01/15/2022,01/16/2022,HOFBRAUHAUS PITTSBURGH,Food & Drink,Sale,-17.08,
01/13/2022,01/14/2022,EVIA GREEK,Food & Drink,Sale,-12.84,
01/13/2022,01/14/2022,TST* TWELVE WHISKEY BA,Food & Drink,Sale,-10.50,
01/13/2022,01/14/2022,KUHN'S BELLEVUE,Groceries,Sale,-1.38,
01/14/2022,01/14/2022,Payment Thank You-Mobile,,Payment,108.83,
01/13/2022,01/14/2022,RITE AID 10920,Health & Wellness,Sale,-10.15,
01/13/2022,01/13/2022,Payment Thank You-Mobile,,Payment,96.63,
01/12/2022,01/13/2022,MASSAGE ENVY 0391,Health & Wellness,Sale,-20.00,
01/11/2022,01/13/2022,TOPGOLF PITTSBURGH 43-,Food & Drink,Sale,-88.83,
01/10/2022,01/12/2022,NICKYS THAI KITCHEN II,Food & Drink,Sale,-32.39,
01/11/2022,01/12/2022,WAFFLES INCAFFEINATED,Food & Drink,Sale,-27.37,
01/10/2022,01/11/2022,USPS PO 4166320073,Shopping,Sale,-3.90,
01/10/2022,01/11/2022,MASABI_PAACREADY2RIDE,Travel,Sale,-25.00,
01/10/2022,01/11/2022,211 - AMF MT LEBANON L,Entertainment,Sale,-32.27,
01/09/2022,01/10/2022,SQ *GRANDPA JOE'S CAND,Shopping,Sale,-1.70,
01/08/2022,01/09/2022,HOWL-PITTSBURG,Food & Drink,Sale,-10.00,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,35.70,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,36.98,
01/08/2022,01/09/2022,KUHN'S BELLEVUE,Groceries,Sale,-26.79,
01/08/2022,01/09/2022,HARVARD BUS EDUCATION,Shopping,Sale,-4.55,
01/08/2022,01/09/2022,KUHN'S BELLEVUE,Groceries,Sale,-19.13,
01/07/2022,01/09/2022,AMZN Mktp US*9Z17B6E03,Shopping,Sale,-128.85,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,22.99,
01/08/2022,01/09/2022,Amazon.com,Shopping,Return,35.70,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,44.98,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,29.74,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,31.44,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,18.99,
01/08/2022,01/09/2022,AMZN Mktp US,Shopping,Return,41.99,
12/31/2021,01/02/2022,KUHN'S BELLEVUE,Groceries,Sale,-31.89,
12/26/2021,12/27/2021,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
12/26/2021,12/27/2021,LEMONADE INSURANCE,Bills & Utilities,Sale,-26.42,
12/19/2021,12/20/2021,Prime Video*MT2MG1WF3,Shopping,Sale,-5.29,
12/14/2021,12/14/2021,Payment Thank You-Mobile,,Payment,116.58,
12/12/2021,12/13/2021,ECLIPSE ECUADOR,Shopping,Sale,-26.03,
12/11/2021,12/12/2021,AMZN Mktp US*IG53C90I3,Shopping,Sale,-67.14,
12/11/2021,12/12/2021,Amazon.com*UZ6IG9PB3,Shopping,Sale,-12.95,
12/09/2021,12/10/2021,DARI-VILLA RESTAURANT,Food & Drink,Sale,-10.46,
12/09/2021,12/10/2021,Payment Thank You-Mobile,,Payment,835.15,
12/08/2021,12/09/2021,RITE AID 10920,Health & Wellness,Sale,-21.18,
12/08/2021,12/09/2021,MY PREMISE HEALTH,Health & Wellness,Sale,-4.78,
12/07/2021,12/09/2021,GRILLE 565,Food & Drink,Sale,-43.02,
12/08/2021,12/09/2021,Amazon.com*CO7RY56P3,Shopping,Sale,-35.70,
12/08/2021,12/09/2021,AMZN Mktp US*5576V77J3,Shopping,Sale,-29.74,
12/08/2021,12/09/2021,KUHN'S BELLEVUE,Groceries,Sale,-50.72,
12/08/2021,12/09/2021,SQ *LINCOLN AVENUE BRE,Food & Drink,Sale,-66.45,
12/07/2021,12/08/2021,AMZN Mktp US,Shopping,Return,22.99,
12/05/2021,12/08/2021,PHIPPS CONSERVATORY AN,Gifts & Donations,Sale,-18.40,
12/06/2021,12/07/2021,Amazon.com*ED1WG9JZ3,Shopping,Sale,-14.00,
12/06/2021,12/07/2021,HELLO BIST 2503/DELICI,Food & Drink,Sale,-10.43,
12/06/2021,12/06/2021,Amazon.com*5P9J15TJ3,Shopping,Sale,-15.61,
12/05/2021,12/06/2021,KUHN'S BELLEVUE,Groceries,Sale,-5.47,
12/05/2021,12/06/2021,AMZN Mktp US*FH4408TZ3,Shopping,Sale,-29.99,
12/04/2021,12/05/2021,KUHN'S BELLEVUE,Groceries,Sale,-3.99,
12/03/2021,12/05/2021,KUHN'S BELLEVUE,Groceries,Sale,-4.03,
12/04/2021,12/05/2021,AMZN Mktp US*6N6HC6U23,Shopping,Sale,-123.94,
12/04/2021,12/05/2021,KUHN'S BELLEVUE,Groceries,Sale,-13.65,
12/03/2021,12/03/2021,AMZN Mktp US*WY9FV0883,Shopping,Sale,-41.99,
12/02/2021,12/03/2021,CVS/PHARMACY #04103,Health & Wellness,Sale,-19.88,
11/30/2021,12/01/2021,KUHN'S BELLEVUE,Groceries,Sale,-5.87,
11/29/2021,11/30/2021,KUHN'S BELLEVUE,Groceries,Sale,-18.01,
11/29/2021,11/30/2021,Amazon.com*FN5497X43,Shopping,Sale,-15.87,
11/28/2021,11/29/2021,KUHN'S BELLEVUE,Groceries,Sale,-3.68,
11/27/2021,11/28/2021,KUHN'S BELLEVUE,Groceries,Sale,-31.53,
11/27/2021,11/28/2021,PHE*ADAM MAIL,Shopping,Sale,-21.18,
11/27/2021,11/28/2021,AMZN Mktp US*HT9MB8PM3,Shopping,Sale,-33.63,
